VID, COMPANY
070E,EXCEL CELL ELECTRONIC CO. LTD
0710,CONNECT TECH INC.
0711,MAGIC CONTROL TECHNOLOGY CORP.
0713,INTERVAL RESEARCH CORP.
0714,NEWMOTION INC.
0717,ZNK CORP.
0718,IMATION CORP.
0719,TREMON ENTERPRISES CO. LTD
071B,DOMAIN TECHNOLOGIES INC.
071C,XIONICS DOCUMENT TECHNOLOGIES INC.
071D,EICON NETWORKS CORP.
071E,ARISTON TECHNOLOGIES
0720,KEYENCE CORP.
0723,CENTILLIUM COMMUNICATIONS CORP.
0726,VANGUARD INTERNATIONAL SEMICONDUCTOR-AMERICA
0729,AMITM
072E,SUNIX CO. LTD
072F,ADVANCED CARD SYSTEMS LTD
0731,SUSTEEN INC.
0732,GOLDFULL ELECTRONICS & TELECOMMUNICATIONS CORP.
0733,VIEWQUEST TECHNOLOGIES INC.
0734,LASAT COMMUNICATIONS A/S
0735,ASUSCOM NETWORK
0736,LOROM INDUSTRIAL CO. LTD
0738,MAD CATZ INC.
073A,CHAPLET SYSTEMS INC.
073B,SUNCOM TECHNOLOGIES
073C,INDUSTRIAL ELECTRONIC ENGINEERS INC.
073D,EUTRON S.P.A.
073E,NEC INC.
0742,STOLLMANN
0745,SYNTECH INFORMATION CO. LTD
0746,ONKYO CORP.
0747,LABWAY CORP.
0748,STRONG MAN ENTERPRISE CO. LTD
0749,EVER ELECTRONICS CORP.
074A,MING FORTUNE INDUSTRY CO. LTD
074B,POLESTAR TECH. CORP.
074C,C-C-C GROUP PLC
074D,MICRONAS GMBH
074E,DIGITAL STREAM CORP.
0755,AUREAL SEMICONDUCTOR
0757,NETWORK TECHNOLOGIES INC.
0758,CARL ZEISS MICROSCOPY GMBH
075B,SOPHISTICATED CIRCUITS INC.
0763,M-AUDIO
0764,CYBER POWER SYSTEM INC.
0765,X-RITE INC.
0766,JESS-LINK PRODUCTS CO. LTD
0767,TOKHEIM CORP.
0768,CAMTEL TECHNOLOGY CORP.
0769,SURECOM TECHNOLOGY CORP.
076A,SMART TECHNOLOGY ENABLERS INC.
076B,OMNIKEY AG
076C,PARTNER TECH
076D,DENSO CORP.
076E,KUAN TECH ENTERPRISE CO. LTD
076F,JHEN VEI ELECTRONIC CO. LTD
0770,WELCH ALLYN INC - MEDICAL DIVISION
0771,OBSERVATOR INSTRUMENTS BV
0772,YOUR DATA OUR CARE
0774,AMTRAN TECHNOLOGY CO. LTD
0775,LONGSHINE ELECTRONICS CORP.
0776,INALWAYS CORP.
0777,COMDA ENTERPRISE CORP.
0778,VOLEX INC.
0779,ON SEMICONDUCTOR (FORMERLY FAIRCHILD)
077A,SANKYO SEIKI MFG. CO. LTD
077B,LINKSYS
077C,FORWARD ELECTRONICS CO. LTD
077D,GRIFFIN TECHNOLOGY
077E,SOFTING AG
077F,WELL EXCELLENT & MOST CORP.
0780,SAGEM MONETEL GMBH
0781,SANDISK CORP.
0782,TRACKERBALL
0783,C3PO
0784,VIVITAR INC.
0785,NTT-ME
0789,LOGITEC CORP.
078B,HAPP CONTROLS INC.
078C,GTCO/CALCOMP
078E,BRINCOM INC.
0790,PRO-IMAGE MANUFACTURING CO. LTD
0791,COPARTNER WIRE AND CABLE MFG. CORP.
0792,AXIS COMMUNICATIONS AB
0793,WHA YU INDUSTRIAL CO. LTD
0794,ABL ELECTRONICS CORP.
0795,REALCHIP INC.
0796,CERTICOM CORP.
0797,GRANDTECH SEMICONDUCTOR CORP.
0798,OPTELEC
0799,ALTERA
079B,SAGEM
079D,ALFADATA COMPUTER CORP.
07A1,DIGICOM S.P.A.
07A2,NATIONAL TECHNICAL SYSTEMS
07A3,ONNTO CORP.
07A4,BE INC.
07A6,ADMTEK INC.
07AA,COREGA K.K.
07AB,FREECOM TECHNOLOGIES
07AF,MICROTECH
07B0,TRUST TECHNOLOGIES
07B1,IMP INC.
07B2,MOTOROLA BCS INC.
07B3,PLUSTEK INC.
07B4,OLYMPUS OPTICAL CO. LTD
07B5,MEGA WORLD INTERNATIONAL LTD
07B6,MARUBUN CORP.
07B7,TIME INTERCONNECT LTD
07B8,ABOCOM SYSTEMS INC
07BC,CANON COMPUTER SYSTEMS INC.
07BD,WEBGEAR INC.
07BE,VERIDICOM
07C0,CODE MERCENARIES HARD- UND SOFTWARE GMBH
07C1,KEISOKUGIKEN
07C4,DATAFAB SYSTEMS INC.
07C5,APG CASH DRAWER
07C6,SHAREWAVE INC.
07C7,POWERTECH INDUSTRIAL CO. LTD
07C8,B.U.G. INC.
07C9,ALLIED TELESYN INTERNATIONAL
07CA,AVERMEDIA TECHNOLOGIES INC.
07CB,KINGMAX TECHNOLOGY INC.
07CC,CARRY COMPUTER ENG. CO. LTD
07CD,ELEKTOR
07CE,NIDEC COPAL
07CF,CASIO COMPUTER CO. LTD
07D0,DAZZLE
07D1,D-LINK SYSTEM
07D2,APTIO PRODUCTS INC.
07D3,CYBERDATA CORP.
07D5,RADIANT SYSTEMS
07D7,GCC TECHNOLOGIES INC.
07DA,ARASAN CHIP SYSTEMS
07DE,DIAMOND MULTIMEDIA
07DF,DAVID ELECTRONICS CO. LTD
07E0,NCP ENGINEERING GMBH
07E1,AMBIENT TECHNOLOGIES INC.
07E2,ELMEG GMBH & CO. LTD
07E3,PLANEX COMMUNICATIONS INC.
07E4,MOVADO ENTERPRISE CO. LTD
07E5,QPS INC.
07E6,ALLIED CABLE CORP.
07E7,MIRVO TOYS INC.
07E8,LABSYSTEMS
07EA,IWATSU ELECTRIC CO. LTD
07EB,DOUBLE-H TECHNOLOGY CO. LTD
07EC,TAIYO ELECTRIC WIRE & CABLE CO. LTD
07EE,TOREX RETAIL (FORMERLY LOGWARE)
07EF,STSN
07F2,MICROCOMPUTER APPLICATIONS INC.
07F6,CIRCUIT ASSEMBLY CORP.
07F7,CENTURY CORP.
07F9,DOTOP TECHNOLOGY INC.
07FA,DRAYTEK CORP.
07FC,THOMANN
07FD,MARK OF THE UNICORN
07FF,UNKNOWN
0801,MAGTEK
0802,MAKO TECHNOLOGIES LLC
0803,ZOOM TELEPHONICS INC.
0809,GENICOM TECHNOLOGY INC.
080A,EVERMUCH TECHNOLOGY CO. LTD
080B,CROSS MATCH TECHNOLOGIES
080C,DATALOGIC S.P.A.
080D,TECO IMAGE SYSTEMS CO. LTD
0810,PERSONAL COMMUNICATION SYSTEMS INC.
0813,MATTEL INC.
0819,ELICENSER
081A,MG LOGIC
081B,INDIGITA CORP.
081C,MIPSYS
081E,ALPHASMART INC.
081F,MANTA
0822,REUDO CORP.
0825,GC PROTRONICS
0826,DATA TRANSIT
0827,BROADLOGIC INC.
0828,SATO CORP.
0829,DIRECTV BROADBAND INC. (TELOCITY)
082D,HANDSPRING
0830,PALM INC.
0832,KOUWELL ELECTRONICS CORP.
0833,SOURCENEXT CORP.
0835,ACTION STAR ENTERPRISE CO. LTD
0836,TREKSTOR
0839,SAMSUNG TECHWIN CO. LTD
083A,ACCTON TECHNOLOGY CORP.
083F,GLOBAL VILLAGE
0840,ARGOSY RESEARCH INC.
0841,RIOPORT.COM INC.
0844,WELLAND INDUSTRIAL CO. LTD
0846,NETGEAR INC.
084D,MINTON OPTIC INDUSTRY CO. INC.
084E,KB GEAR
084F,EMPEG
0850,FAST POINT TECHNOLOGIES INC.
0851,MACRONIX INTERNATIONAL CO. LTD
0852,CSEM
0853,TOPRE CORPORATION
0854,ACTIVEWIRE INC.
0856,B&B ELECTRONICS
0858,HITACHI MAXELL LTD
0859,MINOLTA SYSTEMS LABORATORY INC.
085A,XIRCOM
085C,COLORVISION INC.
0862,TELETROL SYSTEMS INC.
0863,FILANET CORP.
0864,NETGEAR INC.
0867,DATA TRANSLATION INC.
086A,EMAGIC SOFT- UND HARDWARE GMBH
086C,DETEWE - DEUTSCHE TELEPHONWERKE AG & CO.
086E,SYSTEM TALKS INC.
086F,MEC IMEX INC.
0870,METRICOM
0871,SANDISK INC.
0873,XPEED INC.
0874,A-TEC SUBSYSTEM INC.
0879,COMTROL CORP.
087C,ADESSO/KBTEK AMERICA INC.
087D,JATON CORP.
087E,FUJITSU COMPUTER PRODUCTS OF AMERICA
087F,QUALCORE LOGIC INC.
0880,APT TECHNOLOGIES INC.
0883,RECORDING INDUSTRY ASSOCIATION OF AMERICA (RIAA)
0885,BOCA RESEARCH INC.
0886,XAC AUTOMATION CORP.
0887,HANNSTAR ELECTRONICS CORP.
088A,TECHTOOLS
088B,MASSWORKS INC.
088C,SWECOIN AB
088E,ILOK
0892,DIOGRAPHY INC.
0894,TSI INCORPORATED
0897,LAUTERBACH
089C,UNITED TECHNOLOGIES RESEARCH CNTR.
089D,ICRON TECHNOLOGIES CORP.
089E,NST CO. LTD
089F,PRIMEX AEROSPACE CO.
08A5,E9 INC.
08A6,TOSHIBA TEC
08A8,ANDREA ELECTRONICS
08A9,CWAV INC.
08AC,MACRAIGOR SYSTEMS LLC
08AE,MACALLY (MACE GROUP INC.)
08B0,METROHM
08B4,SORENSON VISION INC.
08B7,NATSU
08B8,J. GORDON ELECTRONIC DESIGN INC.
08B9,RADIOSHACK CORP. (TANDY)
08BB,TEXAS INSTRUMENTS
08BD,CITIZEN WATCH CO. LTD
08C3,PRECISE BIOMETRICS
08C4,PROXIM INC.
08C7,KEY NICE ENTERPRISE CO. LTD
08C8,2WIRE INC.
08C9,NIPPON TELEGRAPH AND TELEPHONE CORP.
08CA,AIPTEK INTERNATIONAL INC.
08CD,JUE HSUN IND. CORP.
08CE,LONG WELL ELECTRONICS CORP.
08CF,PRODUCTIVITY ENHANCEMENT PRODUCTS
08D1,SMARTBRIDGES INC.
08D3,VIRTUAL INK
08D4,FUJITSU SIEMENS COMPUTERS
08D8,IXXAT AUTOMATION GMBH
08D9,INCREMENT P CORP.
08DD,BILLIONTON SYSTEMS INC.
08DE,???
08DF,SPYRUS INC.
08E3,OLITEC INC.
08E4,PIONEER CORP.
08E5,LITRONIC
08E6,GEMALTO (WAS GEMPLUS)
08E7,PAN-INTERNATIONAL WIRE & CABLE
08E8,INTEGRATED MEMORY LOGIC
08E9,EXTENDED SYSTEMS INC.
08EA,ERICSSON INC. BLUE RIDGE LABS
08EC,M-SYSTEMS FLASH DISK PIONEERS
08ED,MEDIATEK INC.
08EE,CCSI/HESSO
08F0,COREX TECHNOLOGIES
08F1,CTI ELECTRONICS CORP.
08F2,GOTOP INFORMATION INC.
08F5,SYSTEC CO. LTD
08F6,LOGIC 3 INTERNATIONAL LTD
08F7,VERNIER
08F8,KEEN TOP INTERNATIONAL ENTERPRISE CO. LTD
08F9,WIPRO TECHNOLOGIES
08FA,CAERE
08FB,SOCKET COMMUNICATIONS
08FC,SICON CABLE TECHNOLOGY CO. LTD
08FD,DIGIANSWER A/S
08FF,AUTHENTEC INC.
0900,PINNACLE SYSTEMS INC.
0901,VST TECHNOLOGIES
0906,FARADAY TECHNOLOGY CORP.
0908,SIEMENS AG
0909,AUDIO-TECHNICA CORP.
090A,TRUMPION MICROELECTRONICS INC.
090B,NEUROSMITH
090C,SILICON MOTION INC. - TAIWAN (FORMERLY FEIYA TECHNOLOGY CORP.)
090D,MULTIPORT COMPUTER VERTRIEBS GMBH
090E,SHINING TECHNOLOGY INC.
090F,FUJITSU DEVICES INC.
0910,ALATION SYSTEMS INC.
0911,PHILIPS SPEECH PROCESSING
0912,VOQUETTE INC.
0915,GLOBESPAN INC.
0917,SMARTDISK CORP.
0919,TIGER ELECTRONICS
091E,GARMIN INTERNATIONAL
0920,ECHELON CO.
0921,GOHUBS INC.
0922,DYMO-COSTAR CORP.
0923,IC MEDIA CORP.
0924,XEROX
0925,LAKEVIEW RESEARCH
0927,SUMMUS LTD
0928,PLX TECHNOLOGY INC. (FORMERLY OXFORD SEMICONDUCTOR LTD)
0929,AMERICAN BIOMETRIC CO.
092A,TOSHIBA INFORMATION & INDUSTRIAL SYS. AND SERVICES
092B,SENA TECHNOLOGIES INC.
092F,NORTHERN EMBEDDED SCIENCE/CAVNEX
0930,TOSHIBA CORP.
0931,HARMONIC DATA SYSTEMS LTD
0932,CRESCENTEC CORP.
0933,QUANTUM CORP.
0934,SPIRENT COMMUNICATIONS
0936,NUTESLA
0939,LUMBERG INC.
093A,PIXART IMAGING INC.
093B,PLEXTOR CORP.
093C,INTREPID CONTROL SYSTEMS INC.
093D,INNOSYNC INC.
093E,J.S.T. MFG. CO. LTD
093F,OLYMPIA TELECOM VERTRIEBS GMBH
0940,JAPAN STORAGE BATTERY CO. LTD
0941,PHOTOBIT CORP.
0942,I2GO.COM LLC
0943,HCL TECHNOLOGIES INDIA PRIVATE LTD
0944,KORG INC.
0945,PASCO SCIENTIFIC
0948,KRONAUER MUSIC IN DIGITAL
094B,LINKUP SYSTEMS CORP.
094D,CABLE TELEVISION LABORATORIES
094F,YANO
0951,KINGSTON TECHNOLOGY
0954,RPM SYSTEMS CORP.
0955,NVIDIA CORP.
0956,BSQUARE CORP.
0957,AGILENT TECHNOLOGIES INC.
0958,COMPULINK RESEARCH INC.
0959,COLOGNE CHIP AG
095A,PORTSMITH
095B,MEDIALOGIC CORP.
095C,K-TEC ELECTRONICS
095D,POLYCOM INC.
0964,BITRAN
0967,ACER NEWEB CORP.
0968,CATALYST ENTERPRISES INC.
096E,FEITIAN TECHNOLOGIES INC.
0971,GRETAG-MACBETH AG
0973,SCHLUMBERGER
0974,DATAGRAPHIX A BUSINESS UNIT OF ANACOMP
0975,OL'E COMMUNICATIONS INC.
0976,ADIRONDACK WIRE & CABLE
0977,LIGHTSURF TECHNOLOGIES
0978,BECKHOFF GMBH
0979,JEILIN TECHNOLOGY CORP. LTD
097A,MINDS AT WORK LLC
097B,KNUDSEN ENGINEERING LTD
097C,MARUNIX CO. LTD
097D,ROSUN TECHNOLOGIES INC.
097E,BIOPAC SYSTEMS INC.
097F,BARUN ELECTRONICS CO. LTD
0981,OAK TECHNOLOGY LTD
0984,APRICORN
0985,CAB PRODUKTTECHNIK GMBH & CO KG
0986,MATSUSHITA ELECTRIC WORKS LTD.
098C,VITANA CORP.
098D,INDESIGN
098E,INTEGRATED INTELLECTUAL PROPERTY INC.
098F,KENWOOD TMI CORP.
0993,GEMSTAR EBOOK GROUP LTD
0996,INTEGRATED TELECOM EXPRESS INC.
099A,ZIPPY TECHNOLOGY CORP.
099E,TRIMBLE NAVIGATION LTD
09A3,PAIRGAIN TECHNOLOGIES
09A4,CONTECH RESEARCH INC.
09A5,VCON TELECOMMUNICATIONS
09A6,POINCHIPS
09A7,DATA TRANSMISSION NETWORK CORP.
09A8,LIN SHIUNG ENTERPRISE CO. LTD
09A9,SMART CARD TECHNOLOGIES CO. LTD
09AA,INTERSIL CORP.
09AB,JAPAN CASH MACHINE CO. LTD.
09AE,TRIPP LITE
09B0,FARGO
09B2,FRANKLIN ELECTRONIC PUBLISHERS INC.
09B3,ALTIUS SOLUTIONS INC.
09B4,MDS TELEPHONE SYSTEMS
09B5,CELLTRIX TECHNOLOGY CO. LTD
09BC,GRUNDIG
09BE,MYSMART.COM
09BF,AUERSWALD GMBH & CO. KG
09C0,GENPIX ELECTRONICS LLC
09C1,ARRIS INTERACTIVE LLC
09C2,NISCA CORP.
09C3,HID GLOBAL
09C4,ACTISYS CORP.
09C5,MEMORY CORP.
09CA,BMC MESSSYSTEME GMBH
09CB,FLIR SYSTEMS
09CC,WORKBIT CORP.
09CD,PSION DACOM HOME NETWORKS LTD
09CE,CITY ELECTRONICS LTD
09CF,ELECTRONICS TESTING CENTER TAIWAN
09D1,NEOMAGIC INC.
09D2,VREELIN ENGINEERING INC.
09D3,COM ONE
09D7,HEXAGON NOVATEL INC.
09D8,ELATEC GMBH
09D9,KRF TECH LTD
09DA,A4TECH CO. LTD.
09DB,MEASUREMENT COMPUTING CORP.
09DC,AIMEX CORP.
09DD,FELLOWES INC.
09DF,ADDONICS TECHNOLOGIES CORP.
09E1,INTELLON CORP.
09E5,JO-DAN INTERNATIONAL INC.
09E6,SILUTIA INC.
09E7,REAL 3D INC.
09E8,AKAI  PROFESSIONAL M.I. CORP.
09E9,CHEN-SOURCE INC.
09EB,IM NETWORKS INC.
09EF,XITEL
09F3,GOFLIGHT INC.
09F5,ARESCOM
09F6,ROCKETCHIPS INC.
09F7,EDU-SCIENCE (H.K.) LTD
09F8,SOFTCONNEX TECHNOLOGIES INC.
09F9,BAY ASSOCIATES
09FA,MTEK VISION
09FB,ALTERA
09FF,GAIN TECHNOLOGY CORP.
0A00,LIQUID AUDIO
0A01,VIA INC.
0A05,UNKNOWN MANUFACTURER
0A07,ONTRAK CONTROL SYSTEMS INC.
0A0B,CYBEX COMPUTER PRODUCTS CO.
0A0D,SERVERGY INC
0A11,XENTEC INC.
0A12,CAMBRIDGE SILICON RADIO LTD
0A13,TELEBYTE INC.
0A14,SPACELABS MEDICAL INC.
0A15,SCALAR CORP.
0A16,TREK TECHNOLOGY (S) PTE LTD
0A17,PENTAX CORP.
0A18,HEIDELBERGER DRUCKMASCHINEN AG
0A19,HUA GENG TECHNOLOGIES INC.
0A21,MEDTRONIC PHYSIO CONTROL CORP.
0A22,CENTURY SEMICONDUCTOR USA INC.
0A27,DATACARD GROUP
0A2C,AK-MODUL-BUS COMPUTER GMBH
0A34,TG3 ELECTRONICS INC.
0A35,RADIKAL TECHNOLOGIES
0A38,IRIS SA
0A39,GILAT SATELLITE NETWORKS LTD
0A3A,PENTAMEDIA CO. LTD
0A3C,NTT DOCOMO INC.
0A3D,VARO VISION
0A3F,SWISSONIC AG
0A43,BOCA SYSTEMS INC.
0A46,DAVICOM SEMICONDUCTOR INC.
0A47,HIROSE ELECTRIC
0A48,I/O INTERCONNECT
0A4A,PLOYTEC GMBH
0A4B,FUJITSU MEDIA DEVICES LTD
0A4C,COMPUTEX CO. LTD
0A4D,EVOLUTION ELECTRONICS LTD
0A4E,STEINBERG SOFT-UND HARDWARE GMBH
0A4F,LITTON SYSTEMS INC.
0A50,MIMAKI ENGINEERING CO. LTD
0A51,SONY ELECTRONICS INC.
0A52,JEBSEE ELECTRONICS CO. LTD
0A53,PORTABLE PERIPHERAL CO. LTD
0A5A,ELECTRONICS FOR IMAGING INC.
0A5B,EASICS NV
0A5C,BROADCOM CORP.
0A5D,DIATREND CORP.
0A5F,ZEBRA TECHNOLOGIES
0A62,MPMAN
0A66,CLEARCUBE TECHNOLOGY
0A67,MEDELI ELECTRONICS CO. LTD
0A68,COMAIDE CORP.
0A69,CHROMA ATE INC.
0A6B,GREEN HOUSE CO. LTD
0A6C,INTEGRATED CIRCUIT SYSTEMS INC.
0A6D,UPS MANUFACTURING
0A6E,BENWIN
0A6F,CORE TECHNOLOGY INC.
0A70,INTERNATIONAL GAME TECHNOLOGY
0A71,VIPCOLOR TECHNOLOGIES USA INC.
0A72,SANWA DENSHI
0A73,MACKIE DESIGNS
0A7D,NSTL INC.
0A7E,OCTAGON SYSTEMS CORP.
0A80,REXON TECHNOLOGY CORP. LTD
0A81,CHESEN ELECTRONICS CORP.
0A82,SYSCAN
0A83,NEXTCOMM INC.
0A84,MAUI INNOVATIVE PERIPHERALS
0A85,IDEXX LABS
0A86,NITGEN CO. LTD
0A89,AKTIV
0A8D,PICTURETEL
0A8E,JAPAN AVIATION ELECTRONICS INDUSTRY LTD
0A90,CANDY TECHNOLOGY CO. LTD
0A91,GLOBLINK TECHNOLOGY INC.
0A92,EGO SYSTEMS INC.
0A93,C TECHNOLOGIES AB
0A94,INTERSENSE
0AA3,LAVA COMPUTER MFG. INC.
0AA4,DEVELCO ELEKTRONIK
0AA5,FIRST INTERNATIONAL DIGITAL
0AA6,PERCEPTION DIGITAL LTD
0AA7,WINCOR NIXDORF INTERNATIONAL GMBH
0AA8,TRIGEM COMPUTER INC.
0AA9,BAROMTEC CO.
0AAA,JAPAN CBM CORP.
0AAB,VISION SHAPE EUROPE SA
0AAC,ICOMPRESSION INC.
0AAD,ROHDE & SCHWARZ GMBH & CO. KG
0AAE,NEC INFRONTIA CORP. (NITSUKO)
0AAF,DIGITALWAY CO. LTD
0AB0,ARROW STRONG ELECTRONICS CO. LTD
0AB1,FEIG ELECTRONIC GMBH
0ABA,ELLISYS
0ABE,STEREO-LINK
0ABF,DIOLAN
0AC3,SANYO SEMICONDUCTOR COMPANY MICRO
0AC4,LECO CORP.
0AC5,I & C CORP.
0AC6,SINGING ELECTRONS INC.
0AC7,PANWEST CORP.
0AC8,Z-STAR MICROELECTRONICS CORP.
0AC9,MICRO SOLUTIONS INC.
0ACA,OPEN NETWORKS LTD
0ACC,KOGA ELECTRONICS CO.
0ACD,ID TECH
0ACE,ZYDAS
0ACF,INTOTO INC.
0AD0,INTELLIX CORP.
0AD1,REMOTEC TECHNOLOGY LTD
0AD2,SERVICE & QUALITY TECHNOLOGY CO. LTD
0ADA,DATA ENCRYPTION SYSTEMS LTD.
0AE3,ALLION COMPUTER INC.
0AE4,TAITO CORP.
0AE7,NEODYM SYSTEMS INC.
0AE8,SYSTEM SUPPORT CO. LTD
0AE9,NORTH SHORE CIRCUIT DESIGN L.L.P.
0AEA,SCIESSENCE LLC
0AEB,TTP COMMUNICATIONS LTD
0AEC,NEODIO TECHNOLOGIES CORP.
0AF0,OPTION
0AF6,SILVER I CO. LTD
0AF7,B2C2 INC.
0AF9,HAMA INC.
0AFA,DMC CO. LTD.
0AFC,ZAPTRONIX LTD
0AFD,TATENO DENNOU INC.
0AFE,CUMMINS ENGINE CO.
0AFF,JUMP ZONE NETWORK PRODUCTS INC.
0B00,INGENICO
0B05,ASUSTEK COMPUTER INC.
0B0B,DATAMAX-O'NEIL
0B0C,TODOS AB
0B0D,PROJECTLAB
0B0E,GN NETCOM
0B0F,AVID TECHNOLOGY
0B10,PCALLY
0B11,I TECH SOLUTIONS CO. LTD
0B1E,ELECTRONIC WARFARE ASSOC. INC. (EWA)
0B1F,INSYDE SOFTWARE CORP.
0B20,TRANSDIMENSION INC.
0B21,YOKOGAWA ELECTRIC CORP.
0B22,JAPAN SYSTEM DEVELOPMENT CO. LTD
0B23,PAN-ASIA ELECTRONICS CO. LTD
0B24,LINK EVOLUTION CORP.
0B27,RITEK CORP.
0B28,KENWOOD CORP.
0B2C,VILLAGE CENTER INC.
0B30,PNY TECHNOLOGIES INC.
0B33,CONTOUR DESIGN INC.
0B37,HITACHI ULSI SYSTEMS CO. LTD
0B38,GEAR HEAD
0B39,OMNIDIRECTIONAL CONTROL TECHNOLOGY INC.
0B3A,IPAXESS
0B3B,TEKRAM TECHNOLOGY CO. LTD
0B3C,OLIVETTI TECHCENTER
0B3E,KIKUSUI ELECTRONICS CORP.
0B41,HAL CORP.
0B43,PLAY.COM INC.
0B47,SPORTBUG.COM INC.
0B48,TECHNOTREND AG
0B49,ASCII CORP.
0B4B,PINE CORP. LTD.
0B4D,GRAPHTEC AMERICA INC.
0B4E,MUSICAL ELECTRONICS LTD
0B50,DUMPRIES CO. LTD
0B51,COMFORT KEYBOARD CO.
0B52,COLORADO MICRODISPLAY INC.
0B54,SINBON ELECTRONICS CO. LTD
0B56,TYI SYSTEMS LTD
0B57,BEIJING HANWANGTECHNOLOGY CO. LTD
0B59,LAKE COMMUNICATIONS LTD
0B5A,COREL CORP.
0B5F,GREEN ELECTRONICS CO. LTD
0B60,NSINE LTD
0B61,NEC VIEWTECHNOLOGY LTD
0B62,ORANGE MICRO INC.
0B63,ADLINK TECHNOLOGY INC.
0B64,WONDERFUL WIRE CABLE CO. LTD
0B65,EXPERT MAGNETICS CORP.
0B66,CYBIKO INC.
0B67,FAIRBANKS SCALES
0B69,CACHEVISION
0B6A,MAXIM INTEGRATED PRODUCTS
0B6F,NAGANO JAPAN RADIO CO. LTD
0B70,PORTALPLAYER INC.
0B71,SHIN-EI SANGYO CO. LTD
0B72,EMBEDDED WIRELESS TECHNOLOGY CO. LTD
0B73,COMPUTONE CORP.
0B75,ROLAND DG CORP.
0B79,SUNRISE TELECOM INC.
0B7A,ZEEVO INC.
0B7B,TAIKO DENKI CO. LTD
0B7C,ITRAN COMMUNICATIONS LTD
0B7D,ASTRODESIGN INC.
0B81,ID3 TECHNOLOGIES
0B84,REXTRON TECHNOLOGY INC.
0B85,ELKAT ELECTRONICS SDN. BHD.
0B86,EXPUTER SYSTEMS INC.
0B87,PLUS-ONE I & T INC.
0B88,SIGMA KOKI CO. LTD TECHNOLOGY CENTER
0B89,ADVANCED DIGITAL BROADCAST LTD
0B8C,SMART TECHNOLOGIES INC.
0B95,ASIX ELECTRONICS CORP.
0B96,SEWON TELECOM
0B97,O2 MICRO INC.
0B98,PLAYMATES TOYS INC.
0B99,AUDIO INTERNATIONAL INC.
0B9B,DIPL.-ING. STEFAN KUNDE
0B9D,SOFTPROTEC CO.
0B9F,CHIPPO TECHNOLOGIES
0BAF,U.S. ROBOTICS
0BB0,CONCORD CAMERA CORP.
0BB1,INFINILINK CORP.
0BB2,AMBIT MICROSYSTEMS CORP.
0BB3,OFUJI TECHNOLOGY
0BB4,HTC (HIGH TECH COMPUTER CORP.)
0BB5,MURATA MANUFACTURING CO. LTD
0BB6,NETWORK ALCHEMY
0BB7,JOYTECH COMPUTER CO. LTD
0BB8,HITACHI SEMICONDUCTOR AND DEVICES SALES CO. LTD
0BB9,EIGER M&C CO. LTD
0BBA,ZACCESS SYSTEMS
0BBB,GENERAL METERS CORP.
0BBC,ASSISTIVE TECHNOLOGY INC.
0BBD,SYSTEM CONNECTION INC.
0BC0,KNILINK TECHNOLOGY INC.
0BC1,FUW YNG ELECTRONICS CO. LTD
0BC2,SEAGATE RSS LLC
0BC3,IPWIRELESS INC.
0BC4,MICROCUBE CORP.
0BC5,JCN CO. LTD
0BC6,EXWAY INC.
0BC7,X10 WIRELESS TECHNOLOGY INC.
0BC8,TELMAX COMMUNICATIONS
0BC9,ECI TELECOM LTD
0BCA,STARTEK ENGINEERING INC.
0BCB,PERFECT TECHNIC ENTERPRISE CO. LTD
0BD7,ANDREW PARGETER & ASSOCIATES
0BDA,REALTEK SEMICONDUCTOR CORP.
0BDB,ERICSSON BUSINESS MOBILE NETWORKS BV
0BDC,Y MEDIA CORP.
0BDD,ORANGE PCS
0BE2,KANDA TSUSHIN KOGYO CO. LTD
0BE3,TOYO CORP.
0BE4,ELKA INTERNATIONAL LTD
0BE5,DOME IMAGING SYSTEMS INC.
0BE6,DONG GUAN HUMEN WONDERFUL WIRE CABLE FACTORY
0BED,MEI
0BEE,LTK INDUSTRIES LTD
0BEF,WAY2CALL COMMUNICATIONS
0BF0,PACE MICRO TECHNOLOGY PLC
0BF1,INTRACOM S.A.
0BF2,KONEXX
0BF6,ADDONICS TECHNOLOGIES INC.
0BF7,SUNNY GIKEN INC.
0BF8,FUJITSU SIEMENS COMPUTERS
0BFB,GRASS VALLEY GROUP
0BFD,KVASER AB
0C00,FIREFLY MOUSE MAT
0C04,MOTO DEVELOPMENT GROUP INC.
0C05,APPIAN GRAPHICS
0C06,HASBRO GAMES INC.
0C07,INFINITE DATA STORAGE LTD
0C08,AGATE
0C09,COMJET INFORMATION SYSTEM
0C0A,HIGHPOINT TECHNOLOGIES INC.
0C0B,DURA MICRO INC. (ACOMDATA)
0C12,ZEROPLUS
0C15,IRIS GRAPHICS
0C16,GYRATION INC.
0C17,CYBERBOARD A/S
0C18,SYNERTEK KOREA INC.
0C19,CYBERPIXIE INC.
0C1A,SILICON MOTION INC.
0C1B,MIPS TECHNOLOGIES
0C1C,HANG ZHOU SILAN ELECTRONICS CO. LTD
0C1F,MAGICARD
0C22,TALLY PRINTER CORP.
0C23,LERNOUT + HAUSPIE
0C24,TAIYO YUDEN
0C25,SAMPO CORP.
0C26,PROLIFIC TECHNOLOGY INC.
0C27,RFIDEAS INC
0C2E,METROLOGIC INSTRUMENTS
0C30,MUTOH INDUSTRIES LTD
